run,champion,runner_up
127,Argentina,Spain
128,Argentina,France
129,England,Spain
130,Spain,England
131,Spain,England
132,Argentina,Spain
133,Argentina,France
134,England,Spain
135,Argentina,Spain
136,Argentina,France
137,England,Spain
138,France,Argentina
139,Argentina,Spain
140,Spain,England
141,Argentina,France
142,France,Argentina
143,Argentina,Spain
144,Spain,Argentina
145,France,England
146,Argentina,Spain
147,France,Argentina
148,Argentina,France
149,Spain,England
150,Argentina,France
151,France,England
152,Argentina,Spain
153,Spain,Argentina
154,Argentina,Spain
155,Argentina,Spain
156,Argentina,France
157,France,England
158,Argentina,France
159,Argentina,Spain
160,Argentina,France
161,France,England
162,Argentina,France
163,Argentina,France
164,Argentina,Spain
165,Argentina,France
166,Argentina,France
167,Argentina,Spain
168,France,Argentina
169,Spain,Argentina
170,France,Argentina
171,France,Argentina
172,France,Argentina
173,Spain,Argentina
174,France,Argentina
175,Argentina,France
176,Argentina,Spain
177,Argentina,Spain
178,Argentina,France
179,Argentina,France
180,Argentina,Spain
181,Spain,England
182,England,France
183,France,Argentina
184,France,Argentina
185,Argentina,France
186,Spain,Argentina
187,Argentina,France
188,Argentina,Spain
189,Argentina,France
190,Argentina,France
191,Argentina,Spain
192,Argentina,Spain
193,Argentina,France
194,Argentina,France
195,Spain,Argentina
196,England,France
197,Argentina,France
198,Argentina,France
199,Argentina,Spain
200,Argentina,France
201,Argentina,Spain
202,England,Spain
203,Argentina,France
204,Spain,Argentina
205,Spain,Argentina
206,England,France
207,Argentina,France
208,Argentina,Spain
209,Argentina,France
210,Spain,Argentina
211,France,England
212,Argentina,Spain
213,Argentina,Spain
214,Argentina,France
215,Spain,England
216,Spain,England
217,Spain,Argentina
218,Argentina,Spain
219,Argentina,France
220,France,Argentina
221,Argentina,France
222,Spain,Argentina
223,France,England
224,Argentina,Spain
225,Argentina,France
226,France,Argentina
227,France,England
228,Argentina,Spain
229,Argentina,Spain
230,France,Argentina
231,Argentina,France
232,Argentina,Spain
233,France,Argentina
234,France,Argentina
235,Argentina,France
236,Argentina,France
237,Argentina,Spain
238,Argentina,Spain
239,Argentina,France
240,France,Argentina
241,Spain,England
242,France,England
243,France,Argentina
244,France,Argentina
245,Spain,Argentina
246,France,Argentina
247,France,Argentina
248,France,Argentina
249,Argentina,France
250,France,Argentina
251,France,Argentina
252,France,Argentina
253,France,Argentina
254,England,France
255,France,Argentina
256,France,Argentina
257,Argentina,France
258,Argentina,France
259,Argentina,France
260,Argentina,France
261,Spain,Argentina
262,Argentina,Spain
263,Argentina,Spain
264,France,England
265,France,England
266,Argentina,Spain
267,Argentina,France
268,England,France
269,Argentina,France
270,England,France
271,England,Spain
272,Argentina,Spain
273,France,England
274,Argentina,France
275,France,Argentina
276,Argentina,Spain
277,Argentina,France
278,Argentina,Spain
279,Argentina,Spain
280,Argentina,France
281,England,France
282,France,Argentina
283,Spain,Argentina
284,Spain,Argentina
285,Argentina,France
286,Argentina,France
287,Argentina,Spain
288,Argentina,France
289,Spain,England
290,England,Spain
291,Argentina,France
292,Argentina,France
293,Argentina,Spain
294,Spain,Argentina
295,France,Argentina
296,France,Argentina
297,Spain,Argentina
298,Spain,Argentina
299,Argentina,France
300,France,Argentina
301,Argentina,France
302,France,England
303,Argentina,France
304,Argentina,Spain
305,Spain,England
306,France,Argentina
307,Argentina,Spain
308,France,Argentina
309,Argentina,Spain
310,Argentina,France
311,Spain,Argentina
312,England,Spain
313,Argentina,France
314,Argentina,France
315,Argentina,France
316,Argentina,Spain
317,France,Argentina
318,Argentina,Spain
319,Argentina,France
320,France,Argentina
321,Argentina,France
322,Argentina,Spain
323,France,Argentina
324,France,Argentina
325,Argentina,Spain
326,Argentina,France
327,Argentina,Spain
328,France,Argentina
329,Argentina,France
330,Argentina,Spain
331,Argentina,France
332,England,Spain
333,France,England
334,Argentina,France
335,France,Argentina
336,Argentina,Spain
337,Argentina,Spain
338,Argentina,France
339,Spain,England
340,Argentina,Spain
341,France,Argentina
342,Argentina,Spain
343,Argentina,France
344,Argentina,France
345,Argentina,Spain
346,France,England
347,Argentina,Spain
348,France,Argentina
349,Spain,Argentina
350,Spain,England
351,Argentina,France
352,Argentina,Spain
353,Argentina,Spain
354,France,Argentina
355,Argentina,Spain
356,Argentina,France
357,Argentina,Spain
358,Argentina,Spain
359,France,Argentina
360,Argentina,France
361,Argentina,Spain
362,Argentina,Spain
363,Argentina,France
364,Argentina,France
365,Argentina,France
366,Spain,Argentina
367,Argentina,France
368,France,Argentina
369,France,Argentina
370,Argentina,France
371,Spain,Argentina
372,France,Argentina
373,Spain,Argentina
374,Argentina,Spain
375,Argentina,France
376,Argentina,Spain
377,England,France
378,Argentina,Spain
379,England,France
380,Argentina,France
381,Spain,Argentina
382,Argentina,Spain
383,England,Spain
384,Argentina,France
385,France,England
386,France,Argentina
387,Spain,Argentina
388,Argentina,France
389,France,Argentina
390,France,Argentina
391,Argentina,Spain
392,France,Argentina
393,France,Argentina
394,France,Argentina
395,Argentina,Spain
396,Argentina,France
397,Argentina,France
398,Spain,Argentina
399,Argentina,Spain
400,Argentina,France
401,Spain,England
402,Spain,Argentina
403,Argentina,France
404,France,Argentina
405,Argentina,France
406,Spain,England
407,Argentina,France
408,Argentina,France
409,France,Argentina
410,France,Argentina
411,Spain,Argentina
412,France,Argentina
413,France,Argentina
414,France,England
415,France,Argentina
416,Spain,Argentina
417,France,England
418,Argentina,France
419,Argentina,Spain
420,France,Argentina
421,Argentina,Spain
422,Argentina,France
423,Argentina,France
424,France,Argentina
425,France,Argentina
426,Spain,Argentina
427,Argentina,France
428,Argentina,Spain
429,Argentina,France
430,Argentina,France
431,France,Argentina
432,Argentina,France
433,Argentina,France
434,Argentina,Spain
435,Argentina,Spain
436,Argentina,France
437,Spain,Argentina
438,Argentina,France
439,Argentina,France
440,France,Argentina
441,Argentina,Spain
442,France,Argentina
443,Argentina,France
444,Argentina,France
445,Argentina,Spain
446,Spain,Argentina
447,Argentina,Spain
448,Argentina,Spain
449,France,Argentina
450,Spain,Argentina
451,France,Argentina
452,Argentina,France
453,France,Argentina
454,Spain,England
455,France,Argentina
456,France,Argentina
457,Argentina,Spain
458,Spain,England
459,Argentina,Spain
460,France,England
461,Spain,Argentina
462,Argentina,Spain
463,Argentina,France
464,England,France
465,Argentina,France
466,Argentina,France
467,France,Argentina
468,Argentina,France
469,Argentina,France
470,Argentina,Spain
471,England,Spain
472,Argentina,France
473,Argentina,Spain
474,France,Argentina
475,France,England
476,Argentina,Spain
477,Spain,England
478,France,Argentina
479,Argentina,France
480,France,England
481,Argentina,France
482,Argentina,Spain
483,Argentina,France
484,Spain,Argentina
485,Argentina,France
486,Argentina,Spain
487,France,Argentina
488,Argentina,Spain
489,France,Argentina
490,Spain,Argentina
491,Argentina,France
492,Argentina,France
493,France,Argentina
494,Argentina,Spain
495,Argentina,France
496,Spain,Argentina
497,Argentina,Spain
498,Argentina,France
499,Argentina,Spain
500,Spain,Argentina
501,Argentina,France
502,Spain,Argentina
503,Spain,England
504,Argentina,Spain
505,England,France
506,France,Argentina
507,Argentina,France
508,Spain,Argentina
509,France,England
510,France,England
511,Spain,England
512,Argentina,Spain
513,France,Argentina
514,Argentina,France
515,Argentina,France
516,France,Argentina
517,France,Argentina
518,Argentina,France
519,Argentina,France
520,Argentina,Spain
521,Argentina,Spain
522,France,England
523,Argentina,France
524,France,Argentina
525,Argentina,France
526,Argentina,Spain
527,France,Argentina
528,Spain,Argentina
529,France,Argentina
530,England,France
531,Argentina,France
532,Argentina,France
533,France,Argentina
534,Spain,Argentina
535,France,Argentina
536,France,Argentina
537,Argentina,Spain
538,Spain,Argentina
539,Spain,Argentina
540,Argentina,France
541,Argentina,France
542,France,Argentina
543,Argentina,France
544,Argentina,Spain
545,Argentina,France
546,Argentina,France
547,France,Argentina
548,France,Argentina
549,Argentina,Spain
550,France,Argentina
551,Argentina,France
552,Argentina,France
553,Argentina,France
554,Argentina,Spain
555,Spain,Argentina
556,France,Argentina
557,Spain,Argentina
558,Argentina,Spain
559,Argentina,France
560,Argentina,Spain
561,France,England
562,Argentina,France
563,Argentina,France
564,Argentina,France
565,Argentina,France
566,Argentina,Spain
567,Argentina,Spain
568,France,Argentina
569,France,Argentina
570,Argentina,Spain
571,Argentina,Spain
572,Argentina,France
573,Spain,England
574,Argentina,Spain
575,Argentina,France
576,Argentina,France
577,France,Argentina
578,Argentina,Spain
579,Argentina,France
580,France,Argentina
581,Argentina,Spain
582,Argentina,Spain
583,France,Argentina
584,Spain,Argentina
585,England,Spain
586,Spain,Argentina
587,France,Argentina
588,England,France
589,England,France
590,Argentina,Spain
591,Argentina,Spain
592,Spain,Argentina
593,Argentina,France
594,France,Argentina
595,Argentina,Spain
596,England,Spain
597,Argentina,France
598,Argentina,Spain
599,Argentina,France
600,Spain,Argentina
601,Argentina,Spain
602,Argentina,France
603,Argentina,France
604,Argentina,Spain
605,Argentina,France
606,Argentina,France
607,Argentina,France
608,Spain,England
609,Argentina,France
610,Argentina,France
611,France,Argentina
612,Argentina,France
613,Spain,England
614,France,Argentina
615,Argentina,Spain
616,France,Argentina
617,Argentina,Spain
618,Spain,Argentina
619,France,Argentina
620,Argentina,Spain
621,Argentina,France
622,Argentina,Spain
623,Argentina,Spain
624,Argentina,Spain
625,Spain,Argentina
626,Argentina,France
627,Argentina,Spain
628,France,Argentina
629,Argentina,France
630,Argentina,France
631,France,Argentina
632,Spain,Argentina
633,France,Argentina
634,Argentina,Spain
635,France,Argentina
636,Spain,Argentina
637,Argentina,France
638,Argentina,France
639,Argentina,Spain
640,Argentina,France
641,France,Argentina
642,France,Argentina
643,Argentina,France
644,Argentina,Spain
645,Argentina,France
646,France,England
647,France,Argentina
648,Spain,Argentina
649,England,Spain
650,England,Spain
651,Argentina,Spain
652,England,France
653,Argentina,Spain
654,Argentina,Spain
655,Argentina,France
656,France,Argentina
657,Spain,Argentina
658,Argentina,France
659,Spain,Argentina
660,Argentina,Spain
661,Argentina,France
662,Argentina,France
663,England,France
664,France,England
665,Spain,Argentina
666,Argentina,Spain
667,Argentina,France
668,Argentina,France
669,Argentina,France
670,France,Argentina
671,Argentina,France
672,France,England
673,France,Argentina
674,Argentina,France
675,France,Argentina
676,France,Argentina
677,Argentina,France
678,Argentina,France
679,Argentina,France
680,Argentina,France
681,Spain,Argentina
682,France,Argentina
683,France,Argentina
684,France,Argentina
685,Argentina,France
686,England,France
687,France,Argentina
688,Argentina,France
689,Argentina,Spain
690,Spain,Argentina
691,Argentina,Spain
692,Spain,Argentina
693,France,Argentina
694,Argentina,Spain
695,France,Argentina
696,Spain,Argentina
697,Spain,Argentina
698,Spain,Argentina
699,France,England
700,England,Spain
701,Argentina,Spain
702,Spain,Argentina
703,Argentina,France
704,France,Argentina
705,Spain,Argentina
706,France,Argentina
707,France,Argentina
708,France,Argentina
709,France,England
710,Argentina,France
711,Argentina,Spain
712,Argentina,France
713,Argentina,Spain
714,Spain,Argentina
715,England,Spain
716,Spain,England
717,Argentina,France
718,Spain,Argentina
719,France,Argentina
720,Argentina,France
721,France,Argentina
722,Spain,Argentina
723,France,Argentina
724,France,Argentina
725,Argentina,France
726,Argentina,France
727,Spain,Argentina
728,Argentina,France
729,Argentina,Spain
730,Argentina,France
731,Argentina,France
732,France,Argentina
733,England,Spain
734,Spain,Argentina
735,Argentina,Spain
736,England,France
737,Argentina,France
738,Spain,England
739,Spain,Argentina
740,Argentina,France
741,France,Argentina
742,Spain,England
743,Argentina,Spain
744,Argentina,France
745,Spain,England
746,France,Argentina
747,France,Argentina
748,France,Argentina
749,Spain,Argentina
750,France,Argentina
751,Argentina,Spain
752,Spain,Argentina
753,Argentina,France
754,France,England
755,Argentina,France
756,Argentina,Spain
757,Argentina,Spain
758,Spain,England
759,Argentina,France
760,France,Argentina
761,Spain,Argentina
762,Spain,Argentina
763,Argentina,France
764,Spain,Argentina
765,France,Argentina
766,Argentina,France
767,Argentina,Spain
768,Argentina,France
769,Argentina,France
770,Spain,England
771,France,Argentina
772,Argentina,France
773,Spain,England
774,France,England
775,Spain,Argentina
776,Argentina,Spain
777,France,Argentina
778,Argentina,France
779,France,Argentina
780,England,France
781,France,Argentina
782,Spain,Argentina
783,England,France
784,Argentina,France
785,Argentina,Spain
786,Argentina,Spain
787,Argentina,France
788,Spain,Argentina
789,Argentina,France
790,France,Argentina
791,France,Argentina
792,Spain,Argentina
793,Spain,Argentina
794,France,England
795,Spain,Argentina
796,Spain,England
797,Spain,Argentina
798,Spain,Argentina
799,France,England
800,Argentina,Spain
801,Spain,Argentina
802,France,Argentina
803,Argentina,Spain
804,Argentina,France
805,Argentina,France
806,France,Argentina
807,France,Argentina
808,Spain,Argentina
809,Argentina,Spain
810,Argentina,Spain
811,Argentina,France
812,Argentina,Spain
813,Spain,Argentina
814,Argentina,France
815,Spain,England
816,Argentina,Spain
817,Argentina,Spain
818,Argentina,Spain
819,Argentina,France
820,Spain,Argentina
821,Argentina,Spain
822,Argentina,Spain
823,Argentina,France
824,Spain,Argentina
825,France,England
826,Argentina,France
827,France,England
828,Argentina,Spain
829,Spain,England
830,Spain,Argentina
831,Argentina,Spain
832,Argentina,France
833,England,France
834,Spain,Argentina
835,Argentina,France
836,Argentina,France
837,France,England
838,France,Argentina
839,France,Argentina
840,France,Argentina
841,Spain,Argentina
842,Argentina,Spain
843,Argentina,Spain
844,England,Spain
845,Argentina,Spain
846,Argentina,France
847,France,Argentina
848,Argentina,France
849,France,Argentina
850,Argentina,France
851,Argentina,Spain
852,Argentina,France
853,Argentina,France
854,Argentina,Spain
855,France,England
856,Spain,Argentina
857,Argentina,France
858,Argentina,France
859,England,Spain
860,France,Argentina
861,France,England
862,Argentina,France
863,Argentina,France
864,Spain,England
865,Spain,England
866,Argentina,Spain
867,Argentina,Spain
868,France,England
869,France,Argentina
870,Argentina,Spain
871,Argentina,Spain
872,Argentina,France
873,Argentina,Spain
874,Argentina,France
875,France,Argentina
876,France,Argentina
877,Argentina,France
878,Argentina,France
879,France,Argentina
880,Argentina,Spain
881,Argentina,Spain
882,Argentina,Spain
883,Argentina,Spain
884,Argentina,Spain
885,Argentina,Spain
886,Argentina,France
887,France,Argentina
888,Argentina,France
889,Argentina,France
890,Argentina,Spain
891,Argentina,France
892,Argentina,France
893,Argentina,France
894,France,Argentina
895,Argentina,Spain
896,Argentina,France
897,Argentina,France
898,Argentina,Spain
899,Argentina,France
900,Argentina,Spain
901,Argentina,Spain
902,Spain,Argentina
903,Spain,Argentina
904,England,France
905,Argentina,France
906,Argentina,France
907,Argentina,Spain
908,Argentina,France
909,Argentina,France
910,Argentina,France
911,Argentina,France
912,Argentina,France
913,England,Spain
914,France,Argentina
915,Spain,Argentina
916,France,England
917,Spain,Argentina
918,Argentina,Spain
919,Argentina,Spain
920,Spain,Argentina
921,England,France
922,Argentina,France
923,Argentina,Spain
924,England,Spain
925,Argentina,France
926,France,England
927,France,Argentina
928,Argentina,France
929,Argentina,France
930,England,Spain
931,Argentina,Spain
932,Argentina,Spain
933,Argentina,Spain
934,France,Argentina
935,Argentina,France
936,France,Argentina
937,Spain,Argentina
938,France,Argentina
939,Argentina,Spain
940,France,Argentina
941,Argentina,Spain
942,Argentina,France
943,Argentina,Spain
944,Argentina,France
945,Spain,Argentina
946,England,France
947,France,Argentina
948,France,Argentina
949,France,Argentina
950,Argentina,France
951,Argentina,France
952,Argentina,Spain
953,Argentina,France
954,France,England
955,Argentina,France
956,Spain,England
957,France,England
958,France,Argentina
959,France,Argentina
960,France,England
961,France,Argentina
962,France,Argentina
963,England,France
964,Argentina,Spain
965,France,Argentina
966,Argentina,Spain
967,England,Spain
968,Argentina,France
969,Argentina,France
970,Spain,England
971,Spain,Argentina
972,France,Argentina
973,Spain,Argentina
974,France,Argentina
975,Argentina,Spain
976,Argentina,France
977,Argentina,France
978,Spain,Argentina
979,France,Argentina
980,Argentina,Spain
981,Argentina,France
982,Argentina,France
983,Argentina,Spain
984,Argentina,France
985,France,Argentina
986,Argentina,France
987,Spain,England
988,France,Argentina
989,France,Argentina
990,France,Argentina
991,Argentina,Spain
992,Argentina,Spain
993,Spain,Argentina
994,France,Argentina
995,France,England
996,Argentina,France
997,Argentina,Spain
998,Argentina,France
999,France,Argentina
1000,Spain,Argentina
1001,England,Spain
1002,Spain,England
1003,Argentina,Spain
1004,Spain,Argentina
1005,Spain,Argentina
1006,Argentina,France
1007,Argentina,Spain
1008,France,England
1009,Argentina,Spain
1010,Spain,England
1011,Argentina,France
1012,Spain,England
1013,Argentina,Spain
1014,Argentina,Spain
1015,Argentina,Spain
1016,Argentina,Spain
1017,Argentina,France
1018,Argentina,Spain
1019,France,Argentina
1020,Spain,Argentina
1021,Argentina,Spain
1022,Argentina,France
1023,England,France
1024,Argentina,Spain
1025,Argentina,Spain
1026,Spain,Argentina
1027,Argentina,France
1028,Spain,Argentina
1029,Argentina,France
1030,Argentina,Spain
1031,Spain,Argentina
1032,France,Argentina
1033,France,Argentina
1034,Argentina,Spain
1035,Argentina,Spain
1036,France,Argentina
1037,Argentina,France
1038,France,Argentina
1039,Spain,Argentina
1040,France,Argentina
1041,France,Argentina
1042,England,France
1043,Argentina,Spain
1044,England,France
1045,Spain,Argentina
1046,Spain,Argentina
1047,France,Argentina
1048,Argentina,Spain
1049,Spain,Argentina
1050,France,Argentina
1051,France,Argentina
1052,England,France
1053,Argentina,France
1054,Argentina,France
1055,Spain,England
1056,Argentina,France
1057,Argentina,Spain
1058,England,Spain
1059,France,England
1060,Argentina,Spain
1061,France,England
1062,Spain,Argentina
1063,France,Argentina
1064,Argentina,France
1065,France,Argentina
1066,Argentina,France
1067,Argentina,Spain
1068,Spain,Argentina
1069,France,England
1070,Argentina,France
1071,England,Spain
1072,France,England
1073,Argentina,France
1074,Spain,Argentina
1075,Spain,Argentina
1076,Argentina,Spain
1077,France,Argentina
1078,England,France
1079,France,Argentina
1080,Argentina,Spain
1081,France,England
1082,Argentina,France
1083,Argentina,France
1084,France,Argentina
1085,Spain,England
1086,France,England
1087,Spain,England
1088,France,Argentina
1089,Spain,Argentina
1090,Argentina,Spain
1091,Argentina,Spain
1092,France,Argentina
1093,France,Argentina
1094,France,England
1095,Argentina,Spain
1096,France,Argentina
1097,Argentina,Spain
1098,Argentina,France
1099,France,Argentina
1100,Spain,Argentina
1101,Spain,Argentina
1102,France,England
1103,Argentina,France
1104,France,Argentina
1105,France,Argentina
1106,France,Argentina
1107,Argentina,France
1108,Argentina,Spain
1109,Spain,Argentina
1110,Spain,Argentina
1111,France,Argentina
1112,France,Argentina
1113,Argentina,France
1114,France,England
1115,Argentina,Spain
1116,Spain,Argentina
1117,France,England
1118,Argentina,France
1119,Argentina,France
1120,Argentina,France
1121,Spain,Argentina
1122,Spain,Argentina
1123,France,Argentina
1124,Argentina,Spain
1125,England,France
1126,France,Argentina
1127,Argentina,Spain
1128,Argentina,France
1129,Spain,Argentina
1130,Argentina,France
1131,Argentina,France
1132,England,France
1133,England,Spain
1134,Argentina,France
1135,Spain,Argentina
1136,England,France
1137,France,Argentina
1138,Argentina,France
1139,England,Spain
1140,Argentina,Spain
1141,Argentina,France
1142,Argentina,France
1143,Argentina,Spain
1144,Spain,Argentina
1145,France,Argentina
1146,France,Argentina
1147,France,England
1148,Argentina,Spain
1149,Argentina,Spain
1150,Spain,Argentina
1151,Argentina,France
1152,Spain,Argentina
1153,Argentina,Spain
1154,Argentina,France
1155,Spain,Argentina
1156,Argentina,France
1157,Argentina,France
1158,Argentina,France
1159,Argentina,Spain
1160,Argentina,France
1161,Argentina,France
1162,Spain,Argentina
1163,France,Argentina
1164,Spain,Argentina
1165,Argentina,Spain
1166,Argentina,France
1167,England,France
1168,Argentina,Spain
1169,Spain,Argentina
1170,Argentina,Spain
1171,Argentina,Spain
1172,Argentina,Spain
1173,Argentina,Spain
1174,Argentina,France
1175,France,England
1176,Spain,Argentina
1177,France,Argentina
1178,Spain,Argentina
1179,Spain,Argentina
1180,Argentina,Spain
1181,Argentina,France
1182,France,Argentina
1183,Argentina,Spain
1184,France,Argentina
1185,Argentina,Spain
1186,Argentina,Spain
1187,France,Argentina
1188,Argentina,Spain
1189,France,Argentina
1190,Spain,England
1191,Argentina,France
1192,Argentina,Spain
1193,Argentina,France
1194,Argentina,France
1195,Argentina,Spain
1196,Argentina,Spain
1197,France,Argentina
1198,Argentina,France
1199,Argentina,Spain
1200,France,England
1201,France,Argentina
1202,France,Argentina
1203,France,Argentina
1204,Argentina,Spain
1205,Spain,Argentina
1206,Argentina,France
1207,Argentina,France
1208,Argentina,Spain
1209,Spain,Argentina
1210,Argentina,France
1211,France,Argentina
1212,Argentina,Spain
1213,France,Argentina
1214,Spain,Argentina
1215,Argentina,Spain
1216,France,Argentina
1217,France,Argentina
1218,France,England
1219,France,Argentina
1220,Argentina,France
1221,Argentina,Spain
1222,France,England
1223,Argentina,Spain
1224,Argentina,France
1225,Argentina,Spain
1226,England,France
1227,Argentina,France
1228,France,England
1229,Argentina,Spain
1230,France,Argentina
1231,Argentina,France
1232,France,England
1233,France,Argentina
1234,Spain,Argentina
1235,Argentina,France
1236,Argentina,France
1237,Argentina,Spain
1238,Argentina,Spain
1239,Argentina,Spain
1240,Argentina,Spain
1241,Argentina,France
1242,Argentina,Spain
1243,Argentina,Spain
1244,Spain,Argentina
1245,Argentina,Spain
1246,Spain,Argentina
1247,Argentina,France
1248,France,Argentina
1249,Spain,Argentina
1250,Argentina,France
1251,Spain,Argentina
1252,Argentina,France
1253,France,Argentina
1254,France,Argentina
1255,Spain,Argentina
1256,Argentina,Spain
1257,Argentina,Spain
1258,Argentina,Spain
1259,Argentina,France
1260,Argentina,France
1261,Argentina,France
1262,Spain,England
1263,Spain,Argentina
1264,Argentina,France
1265,Argentina,Spain
1266,France,Argentina
1267,France,Argentina
1268,Argentina,France
1269,Argentina,Spain
1270,France,England
1271,Argentina,France
1272,Argentina,France
1273,Argentina,Spain
1274,England,France
1275,France,Argentina
1276,Argentina,Spain
1277,Argentina,Spain
1278,Argentina,France
1279,France,Argentina
1280,Argentina,Spain
1281,Argentina,Spain
1282,Spain,Argentina
1283,France,Argentina
1284,Argentina,France
1285,Argentina,France
1286,Spain,England
1287,France,Argentina
1288,Argentina,Spain
1289,Argentina,France
1290,France,Argentina
1291,Argentina,France
1292,France,Argentina
1293,Argentina,France
1294,Argentina,Spain
1295,Argentina,France
1296,Spain,Argentina
1297,Argentina,Spain
1298,Spain,Argentina
1299,France,England
1300,Argentina,France
1301,Argentina,France
1302,Argentina,Spain
1303,Argentina,Spain
1304,Argentina,Spain
1305,Argentina,France
1306,Spain,Argentina
1307,Argentina,Spain
1308,Argentina,France
1309,England,Spain
1310,Argentina,France
1311,France,Argentina
1312,Argentina,France
1313,France,England
1314,France,Argentina
1315,Spain,Argentina
1316,Argentina,Spain
1317,Argentina,Spain
1318,Argentina,France
1319,Spain,England
1320,England,France
1321,France,Argentina
1322,Argentina,France
1323,France,Argentina
1324,France,Argentina
1325,France,England
1326,France,Argentina
1327,France,Argentina
1328,France,England
1329,Argentina,France
1330,Spain,Argentina
1331,France,Argentina
1332,France,Argentina
1333,France,Argentina
1334,Argentina,Spain
1335,France,Argentina
1336,France,Argentina
1337,France,Argentina
1338,France,Argentina
1339,England,France
1340,France,Argentina
1341,Argentina,Spain
1342,Argentina,Spain
1343,Spain,Argentina
1344,Spain,Argentina
1345,Argentina,France
1346,Argentina,France
1347,England,Spain
1348,France,Argentina
1349,Argentina,France
1350,Argentina,Spain
1351,Argentina,France
1352,Argentina,France
1353,Argentina,Spain
1354,France,Argentina
1355,Argentina,Spain
1356,Argentina,Spain
1357,Spain,Argentina
1358,Argentina,France
1359,Argentina,Spain
1360,Argentina,France
1361,Argentina,France
1362,France,Argentina
1363,England,France
1364,Spain,Argentina
1365,Argentina,France
1366,Spain,Argentina
1367,Spain,Argentina
1368,England,Spain
1369,Argentina,Spain
1370,Argentina,France
1371,France,Argentina
1372,Spain,Argentina
1373,Argentina,France
1374,Argentina,Spain
1375,Argentina,France
1376,Argentina,Spain
1377,Argentina,Spain
1378,France,England
1379,Argentina,Spain
1380,France,Argentina
1381,France,Argentina
1382,Argentina,France
1383,Argentina,France
1384,Argentina,France
1385,France,Argentina
1386,Argentina,France
1387,Argentina,France
1388,Spain,Argentina
1389,Argentina,France
1390,Argentina,Spain
1391,Argentina,France
1392,Argentina,Spain
1393,Spain,Argentina
1394,Argentina,Spain
1395,Spain,England
1396,France,Argentina
1397,Argentina,Spain
1398,France,Argentina
1399,Spain,Argentina
1400,France,Argentina
1401,Argentina,Spain
1402,France,England
1403,France,Argentina
1404,France,England
1405,France,Argentina
1406,Spain,Argentina
1407,France,Argentina
1408,Argentina,France
1409,France,Argentina
1410,England,Spain
1411,Spain,England
1412,Argentina,France
1413,Argentina,Spain
1414,Argentina,France
1415,France,Argentina
1416,France,Argentina
1417,Argentina,France
1418,Spain,England
1419,France,Argentina
1420,Spain,Argentina
1421,Argentina,Spain
1422,Argentina,France
1423,Argentina,Spain
1424,Spain,Argentina
1425,Argentina,France
1426,France,Argentina
1427,France,Argentina
1428,Argentina,Spain
1429,Argentina,France
1430,France,England
1431,Argentina,Spain
1432,Argentina,France
1433,Argentina,Spain
1434,Spain,Argentina
1435,France,Argentina
1436,Argentina,Spain
1437,Argentina,Spain
1438,Argentina,France
1439,Argentina,Spain
